#Container_ID	Start_Node_ID	End_Node_ID	Order	Bottom Price	From	To	Release time	Due time	Expected transport time	Priority	Bid price	Transport Together?
1	3	725	1	14873	3	25	1	29	28	-1	16623	Free
2	3	800	1	14873	3	25	1	32	31	-1	15873	Free
3	6	849	2	13614	6	24	1	34	33	-1	14114	Free
4	78	775	3	14873	3	25	4	31	27	-1	16873	Free
5	78	900	3	14873	3	25	4	36	32	-1	15623	Free
6	205	1000	4	13151	5	25	9	40	31	-1	14151	Free
7	8	721	5	13229	8	21	1	29	28	-1	14979	Free
8	8	696	5	13229	8	21	1	28	27	-1	15229	Free
9	28	724	6	14452	3	24	2	29	27	-1	16452	Free
10	78	847	7	14901	3	22	4	34	30	-1	16151	Free
11	257	950	8	13326	7	25	11	38	27	-1	15326	Free
12	133	1000	9	13994	8	25	6	40	34	-1	14244	Free
13	76	797	10	13375	1	22	4	32	28	-1	15125	Free
14	58	874	11	13286	8	24	3	35	32	-1	14036	Free
15	105	997	12	14738	5	22	5	40	35	-1	14738	Free
16	105	872	12	14738	5	22	5	35	30	-1	15988	Free
17	182	872	13	13887	7	22	8	35	27	-1	15887	Free
18	59	767	14	14405	9	17	3	31	28	-1	16155	Free
19	182	946	15	14387	7	21	8	38	30	-1	15637	Free
20	182	921	15	14387	7	21	8	37	29	-1	15887	Free
21	159	867	16	14405	9	17	7	35	28	-1	16155	Free
22	152	873	17	14579	2	23	7	35	28	-1	16329	Free
23	5	796	18	13797	5	21	1	32	31	-1	14797	Free
24	34	918	19	13548	9	18	2	37	35	-1	13548	Free
25	202	948	20	14579	2	23	9	38	29	-1	16079	Free
26	202	998	20	14579	2	23	9	40	31	-1	15579	Free
27	251	971	21	14700	1	21	11	39	28	-1	16450	Free
28	251	946	21	14700	1	21	11	38	27	-1	16700	Free
29	306	998	22	14817	6	23	13	40	27	-1	16817	Free
30	31	894	23	14790	6	19	2	36	34	-1	15040	Free
31	31	769	23	14790	6	19	2	31	29	-1	16290	Free
32	276	996	24	14700	1	21	12	40	28	-1	16450	Free
33	106	1000	25	13119	6	25	5	40	35	-1	13119	Free
34	30	767	26	13452	5	17	2	31	29	-1	14952	Free
35	127	847	27	14927	2	22	6	34	28	-1	16677	Free
36	77	824	28	14998	2	24	4	33	29	-1	16498	Free
37	6	850	29	13119	6	25	1	34	33	-1	13619	Free
38	6	775	29	13119	6	25	1	31	30	-1	14369	Free
39	6	825	29	13119	6	25	1	33	32	-1	13869	Free
40	82	770	30	13835	7	20	4	31	27	-1	15835	Free
41	278	969	31	13026	3	19	12	39	27	-1	15026	Free
42	132	924	32	14702	7	24	6	37	31	-1	15702	Free
43	132	974	32	14702	7	24	6	39	33	-1	15202	Free
44	58	848	33	13115	8	23	3	34	31	-1	14115	Free
45	58	898	33	13115	8	23	3	36	33	-1	13615	Free
46	3	892	34	14555	3	17	1	36	35	-1	14555	Free
47	56	919	35	14790	6	19	3	37	34	-1	15040	Free
48	103	900	36	14873	3	25	5	36	31	-1	15873	Free
49	103	800	36	14873	3	25	5	32	27	-1	16873	Free
50	234	947	37	13713	9	22	10	38	28	-1	15463	Free
51	234	924	38	13886	9	24	10	37	27	-1	15886	Free
52	128	969	39	13026	3	19	6	39	33	-1	13526	Free
53	251	948	40	13355	1	23	11	38	27	-1	15355	Free
54	84	849	41	13886	9	24	4	34	30	-1	15136	Free
55	53	870	42	13922	3	20	3	35	32	-1	14672	Free
56	130	968	43	13060	5	18	6	39	33	-1	13560	Free
57	180	975	44	13151	5	25	8	39	31	-1	14151	Free
