#Container_ID	Start_Node_ID	End_Node_ID	Order	Bottom Price	From	To	Release time	Due time	Expected transport time	Priority	Bid price	Transport Together?
1	283	893	1	13155	8	18	12	36	24	3	13955	Free
2	157	746	2	14387	7	21	7	30	23	3	15587	Free
3	157	696	2	14387	7	21	7	28	21	3	16387	Free
4	377	969	3	13373	2	19	16	39	23	3	14573	Free
5	4	596	4	14710	4	21	1	24	23	3	15910	Free
6	58	593	5	13155	8	18	3	24	21	3	15155	Free
7	351	992	6	14432	1	17	15	40	25	3	14832	Free
8	407	971	7	14387	7	21	17	39	22	3	15987	Free
9	380	943	8	13060	5	18	16	38	22	3	14660	Free
10	105	769	9	14893	5	19	5	31	26	3	14893	Free
11	105	719	9	14893	5	19	5	29	24	3	15693	Free
12	83	719	10	13408	8	19	4	29	25	3	13808	Free
13	208	870	11	13774	8	20	9	35	26	3	13774	Free
14	208	745	11	13774	8	20	9	30	21	3	15774	Free
15	33	617	12	13295	8	17	2	25	23	3	14495	Free
16	405	972	13	14738	5	22	17	39	22	3	16338	Free
17	332	922	14	13887	7	22	14	37	23	3	15087	Free
18	57	721	15	14387	7	21	3	29	26	3	14387	Free
19	379	971	16	14710	4	21	16	39	23	3	15910	Free
20	158	800	17	13994	8	25	7	32	25	3	14394	Free
21	53	674	18	14452	3	24	3	27	24	3	15252	Free
22	53	599	18	14452	3	24	3	24	21	3	16452	Free
23	28	648	19	14916	3	23	2	26	24	3	15716	Free
24	176	847	20	13375	1	22	8	34	26	3	13375	Free
25	230	774	21	14686	5	24	10	31	21	3	16686	Free
26	407	968	22	14075	7	18	17	39	22	3	15675	Free
27	381	950	23	13119	6	25	16	38	22	3	14719	Free
28	228	772	24	14901	3	22	10	31	21	3	16901	Free
29	303	871	25	14005	3	21	13	35	22	3	15605	Free
30	333	899	26	13286	8	24	14	36	22	3	14886	Free
31	309	971	27	13225	9	21	13	39	26	3	13225	Free
32	309	946	27	13225	9	21	13	38	25	3	13625	Free
33	31	619	28	14790	6	19	2	25	23	3	15990	Free
34	102	697	29	14927	2	22	5	28	23	3	16127	Free
35	107	717	30	13023	7	17	5	29	24	3	13823	Free
36	408	970	31	13774	8	20	17	39	22	3	15374	Free
37	280	921	32	13797	5	21	12	37	25	3	14197	Free
38	226	849	33	13912	1	24	10	34	24	3	14712	Free
39	426	992	34	14432	1	17	18	40	22	3	16032	Free
40	207	793	35	14075	7	18	9	32	23	3	15275	Free
41	283	893	36	13155	8	18	12	36	24	3	13955	Free
42	83	674	37	13286	8	24	4	27	23	3	14486	Free
43	253	919	38	13026	3	19	11	37	26	3	13026	Free
44	178	774	39	14452	3	24	8	31	23	3	15652	Free
45	178	749	39	14452	3	24	8	30	22	3	16052	Free
46	378	968	40	13264	3	18	16	39	23	3	14464	Free
47	181	850	41	13119	6	25	8	34	26	3	13119	Free
48	106	773	42	14817	6	23	5	31	26	3	14817	Free
49	205	873	43	13068	5	23	9	35	26	3	13068	Free
50	281	925	44	13119	6	25	12	37	25	3	13519	Free
51	230	873	45	13068	5	23	10	35	25	3	13468	Free
52	230	823	45	13068	5	23	10	33	23	3	14268	Free
53	333	993	46	13155	8	18	14	40	26	3	13155	Free
54	355	948	47	13068	5	23	15	38	23	3	14268	Free
55	153	799	48	14452	3	24	7	32	25	3	14852	Free
56	251	892	49	14432	1	17	11	36	25	3	14832	Free
57	252	894	50	13373	2	19	11	36	25	3	13773	Free
58	252	869	50	13373	2	19	11	35	24	3	14173	Free
59	408	997	51	13967	8	22	17	40	23	3	15167	Free
60	376	997	52	13375	1	22	16	40	24	3	14175	Free
61	376	947	52	13375	1	22	16	38	22	3	14975	Free
62	453	999	53	14452	3	24	19	40	21	3	16452	Free
63	5	569	54	14893	5	19	1	23	22	3	16493	Free
64	302	921	55	14931	2	21	13	37	24	3	15731	Free
65	376	975	56	13655	1	25	16	39	23	3	14855	Free
66	184	746	57	13225	9	21	8	30	22	3	14825	Free
67	253	869	58	13026	3	19	11	35	24	3	13826	Free
68	326	971	59	14700	1	21	14	39	25	3	15100	Free
69	127	674	60	14998	2	24	6	27	21	3	16998	Free
70	358	993	61	13155	8	18	15	40	25	3	13555	Free
71	326	944	62	13869	1	19	14	38	24	3	14669	Free
72	283	821	63	13229	8	21	12	33	21	3	15229	Free
73	181	849	64	13614	6	24	8	34	26	3	13614	Free
74	377	995	65	13620	2	20	16	40	24	3	14420	Free
75	331	868	66	14903	6	18	14	35	21	3	16903	Free
76	279	893	67	13428	4	18	12	36	24	3	14228	Free
77	53	720	68	13922	3	20	3	29	26	3	13922	Free
78	53	695	68	13922	3	20	3	28	25	3	14322	Free
79	301	896	69	14700	1	21	13	36	23	3	15900	Free
80	76	671	70	14700	1	21	4	27	23	3	15900	Free
81	76	646	70	14700	1	21	4	26	22	3	16300	Free
82	101	650	71	13655	1	25	5	26	21	3	15655	Free
83	381	997	72	14682	6	22	16	40	24	3	15482	Free
84	359	898	73	14566	9	23	15	36	21	3	16566	Free
85	359	973	73	14566	9	23	15	39	24	3	15366	Free
86	407	946	74	14387	7	21	17	38	21	3	16387	Free
87	101	773	75	13355	1	23	5	31	26	3	13355	Free
88	127	721	76	14931	2	21	6	29	23	3	16131	Free
89	107	693	77	14075	7	18	5	28	23	3	15275	Free
90	101	642	78	14432	1	17	5	26	21	3	16432	Free
91	80	693	79	13060	5	18	4	28	24	3	13860	Free
